timestamp,ear,mar,perclos,yaw,blink_rate,risk_score,speed,risk_level
2026-04-14 23:28:08,0.308,0.998,0.033,-0.2,11,1,80,SAFE
2026-04-14 23:28:11,0.205,1.016,0.050,6.1,7,5,70,MEDIUM
2026-04-14 23:28:13,0.190,1.067,0.483,4.2,16,8,70,HIGH
2026-04-14 23:28:16,0.291,1.036,0.700,3.7,17,6,70,HIGH
2026-04-14 23:28:19,0.363,0.998,0.250,1.4,14,3,70,MEDIUM
2026-04-14 23:28:22,0.380,1.040,0.000,1.1,12,3,70,MEDIUM
2026-04-14 23:28:24,0.386,1.000,0.000,1.5,11,3,70,MEDIUM
2026-04-14 23:28:27,0.363,1.124,0.000,7.1,10,4,70,MEDIUM
2026-04-14 23:28:30,0.310,0.997,0.000,-5.0,8,3,70,MEDIUM
2026-04-14 23:28:33,0.357,0.999,0.100,4.1,12,3,70,MEDIUM
2026-04-14 23:28:35,0.300,0.998,0.133,2.9,12,3,70,MEDIUM
2026-04-14 23:28:38,0.301,1.063,0.150,1.3,16,3,70,MEDIUM
2026-04-14 23:28:41,0.285,1.032,0.117,0.9,15,3,70,MEDIUM
2026-04-14 23:28:44,0.361,1.031,0.000,0.4,14,1,70,SAFE
2026-04-14 23:28:46,0.345,1.027,0.000,-0.3,13,1,70,SAFE
2026-04-14 23:28:49,0.237,0.988,0.167,0.2,14,1,70,SAFE
2026-04-14 23:28:52,0.191,1.035,0.550,0.9,13,6,60,HIGH
2026-04-14 23:28:55,0.174,1.031,0.883,-1.3,12,8,60,HIGH
2026-04-14 23:28:57,0.168,1.032,1.000,0.1,12,8,60,HIGH
2026-04-14 23:29:00,0.185,1.037,0.750,-0.1,12,8,60,HIGH
2026-04-14 23:29:03,0.265,0.995,0.300,-1.2,14,3,50,MEDIUM
2026-04-14 23:29:06,0.177,1.032,0.417,-0.2,14,8,50,HIGH
2026-04-14 23:29:08,0.197,0.998,0.833,-0.3,11,4,50,MEDIUM
2026-04-14 23:29:11,0.186,1.029,0.817,1.1,7,10,40,HIGH
2026-04-14 23:29:14,0.203,1.042,0.817,4.3,10,8,40,HIGH
2026-04-14 23:29:17,0.362,0.998,0.783,0.8,12,6,40,HIGH
2026-04-14 23:29:20,0.277,1.062,0.367,1.4,14,6,40,HIGH
2026-04-14 23:29:22,0.327,1.031,0.267,1.2,15,3,40,MEDIUM
2026-04-14 23:29:25,0.339,1.031,0.483,1.3,21,6,30,HIGH
2026-04-14 23:29:28,0.335,1.029,0.250,1.2,19,3,30,MEDIUM
2026-04-14 23:29:31,0.361,1.030,0.000,1.3,17,3,30,MEDIUM
2026-04-14 23:29:33,0.396,1.005,0.000,168.4,15,6,30,HIGH
2026-04-14 23:29:36,0.413,0.934,0.050,-0.9,18,3,20,MEDIUM
2026-04-14 23:29:39,0.342,0.999,0.067,0.2,18,3,20,MEDIUM
2026-04-14 23:29:42,0.361,1.039,0.067,24.6,18,4,20,MEDIUM
2026-04-14 23:29:44,0.324,1.013,0.033,20.4,18,4,20,MEDIUM
2026-04-14 23:29:47,0.230,1.036,0.083,24.9,19,4,20,MEDIUM
2026-04-14 23:29:50,0.412,1.038,0.067,6.9,19,3,10,MEDIUM
2026-04-14 23:29:52,0.336,0.994,0.017,-6.8,18,3,10,MEDIUM
2026-04-14 23:29:55,0.323,1.015,0.033,-26.5,18,6,10,HIGH
2026-04-14 23:29:58,0.275,1.037,0.117,-36.2,20,6,10,HIGH
2026-04-14 23:30:01,0.260,0.995,0.233,-8.5,23,3,10,MEDIUM
2026-04-14 23:30:03,0.309,0.996,0.200,-6.3,24,3,10,MEDIUM
2026-04-14 23:30:06,0.345,1.027,0.117,-3.4,24,1,10,SAFE
2026-04-14 23:31:07,0.137,1.029,0.633,0.8,11,6,70,HIGH
2026-04-14 23:31:10,0.323,1.000,0.683,-0.2,15,4,70,MEDIUM
2026-04-14 23:31:13,0.376,0.999,0.517,-0.3,22,6,70,HIGH
2026-04-14 23:31:16,0.148,0.996,0.367,0.5,27,10,70,HIGH
2026-04-14 23:31:18,0.166,0.998,0.367,1.9,30,10,60,HIGH
2026-04-14 23:31:21,0.190,1.029,0.300,1.5,32,7,60,HIGH
2026-04-14 23:31:24,0.332,1.024,0.283,0.1,39,5,60,MEDIUM
2026-04-14 23:31:26,0.322,0.992,0.133,21.4,34,6,60,HIGH
2026-04-14 23:31:29,0.343,1.026,0.017,19.3,33,6,50,HIGH
2026-04-14 23:31:32,0.323,1.028,0.033,-2.9,32,5,50,MEDIUM
2026-04-14 23:31:35,0.248,1.029,0.400,-0.1,38,8,50,HIGH
2026-04-14 23:31:37,0.302,0.994,0.467,0.6,41,8,50,HIGH
2026-04-14 23:31:40,0.281,1.032,0.183,1.8,39,3,40,MEDIUM
2026-04-14 23:31:43,0.319,0.995,0.100,2.0,37,3,40,MEDIUM
2026-04-14 23:31:46,0.301,1.030,0.200,1.3,38,3,40,MEDIUM
2026-04-14 23:31:48,0.185,1.032,0.267,2.8,39,5,40,MEDIUM
2026-04-14 23:31:51,0.323,1.031,0.133,2.1,39,3,40,MEDIUM
2026-04-14 23:31:54,0.332,1.033,0.067,2.3,37,3,40,MEDIUM
2026-04-14 23:31:56,0.188,0.968,0.217,2.8,39,5,40,MEDIUM
2026-04-14 23:31:59,0.234,1.029,0.367,2.2,43,6,30,HIGH
2026-04-14 23:32:02,0.195,1.048,0.267,15.6,43,5,30,MEDIUM
2026-04-14 23:32:05,0.200,1.000,0.267,26.3,44,8,30,HIGH
2026-04-14 23:32:07,0.311,1.018,0.217,19.6,44,6,30,HIGH
2026-04-14 23:32:10,0.305,1.028,0.033,-2.6,31,5,30,MEDIUM
2026-04-14 23:32:13,0.347,1.032,0.000,-1.0,23,3,30,MEDIUM
2026-04-14 23:32:15,0.319,0.993,0.000,-8.0,18,3,30,MEDIUM
2026-04-14 23:32:18,0.309,0.997,0.000,-1.8,15,3,30,MEDIUM
2026-04-14 23:32:21,0.315,1.028,0.000,2.4,12,3,30,MEDIUM
2026-04-14 23:32:23,0.246,0.884,0.000,10.3,12,4,30,MEDIUM
2026-04-14 23:32:26,0.333,1.020,0.000,-42.8,10,3,30,MEDIUM
2026-04-14 23:32:29,0.256,1.018,0.000,165.1,9,3,30,MEDIUM
2026-04-14 23:32:32,0.170,1.008,0.267,7.5,16,3,30,MEDIUM
2026-04-14 23:32:34,0.229,0.966,0.767,6.4,14,8,20,HIGH
2026-04-14 23:32:37,0.296,1.002,0.550,5.1,18,6,20,HIGH
2026-04-14 23:32:40,0.320,0.996,0.050,-3.5,17,3,20,MEDIUM
2026-04-14 23:32:43,0.345,1.032,0.017,-0.0,17,3,20,MEDIUM
2026-04-14 23:32:45,0.324,0.967,0.017,-0.1,16,3,20,MEDIUM
2026-04-14 23:32:48,0.347,0.993,0.033,-1.4,17,1,20,SAFE
2026-04-14 23:32:51,0.310,0.962,0.033,0.9,16,1,20,SAFE
2026-04-14 23:32:53,0.311,0.997,0.000,-0.1,15,1,20,SAFE
2026-04-14 23:32:56,0.358,0.994,0.000,-4.7,14,1,20,SAFE
2026-04-14 23:32:59,0.331,1.030,0.000,-3.2,13,1,20,SAFE
2026-04-14 23:33:02,0.370,1.024,0.000,-3.2,13,1,20,SAFE
2026-04-14 23:33:04,0.330,0.996,0.000,-3.2,13,1,20,SAFE
2026-04-14 23:33:07,0.207,1.031,0.117,-1.6,13,3,20,MEDIUM
2026-04-14 23:33:10,0.216,1.000,0.583,-1.4,24,6,10,HIGH
2026-04-14 23:33:12,0.253,1.024,0.833,-2.1,42,6,10,HIGH
2026-04-14 23:33:15,0.333,1.062,0.400,-2.9,42,6,10,HIGH
2026-04-14 23:33:18,0.335,1.025,0.050,-3.2,39,3,10,MEDIUM
2026-04-14 23:33:20,0.236,1.025,0.183,-2.1,53,3,10,MEDIUM
2026-04-14 23:33:23,0.238,1.034,0.300,-1.9,63,3,10,MEDIUM
2026-04-14 23:33:26,0.241,1.028,0.283,-2.1,71,3,10,MEDIUM
2026-04-14 23:33:28,0.309,0.997,0.200,-1.3,69,5,10,MEDIUM
2026-05-05 19:55:19,0.300,0.998,0.000,-5.1,0,1,80,SAFE
2026-05-05 19:55:22,0.286,1.023,0.067,2.9,14,3,80,MEDIUM
2026-05-05 19:55:25,0.203,1.027,0.267,4.7,16,5,80,MEDIUM
2026-05-05 19:55:27,0.203,0.987,0.467,20.1,26,11,70,HIGH
2026-05-05 19:55:30,0.285,1.001,0.383,5.1,29,8,70,HIGH
2026-05-05 19:55:33,0.331,1.000,0.283,3.2,28,5,70,MEDIUM
2026-05-05 19:55:35,0.326,0.985,0.167,12.8,25,3,70,MEDIUM
2026-05-05 19:55:38,0.402,0.963,0.000,-3.0,22,3,70,MEDIUM
2026-05-05 19:55:41,0.270,1.000,0.000,2.8,20,3,70,MEDIUM
2026-05-05 19:55:43,0.265,0.998,0.000,1.0,18,3,70,MEDIUM
2026-05-05 19:55:46,0.267,1.057,0.233,-0.4,22,3,70,MEDIUM
2026-05-05 19:55:48,0.292,1.000,0.233,4.5,20,3,70,MEDIUM
2026-05-05 19:55:51,0.272,1.026,0.000,4.5,19,3,70,MEDIUM
2026-05-05 19:55:54,0.233,1.000,0.067,11.3,19,3,70,MEDIUM
2026-05-05 19:55:56,0.284,1.000,0.083,5.1,19,3,70,MEDIUM
2026-05-05 19:55:59,0.138,1.002,0.067,5.4,18,5,70,MEDIUM
2026-05-05 19:56:02,0.333,0.971,0.133,7.5,18,3,70,MEDIUM
2026-05-05 19:56:04,0.327,1.001,0.083,6.1,17,3,70,MEDIUM
2026-05-05 19:56:07,0.272,1.032,0.000,5.6,17,3,70,MEDIUM
2026-05-05 19:56:09,0.304,1.000,0.100,3.2,17,3,70,MEDIUM
2026-05-05 19:56:12,0.336,1.000,0.200,2.7,18,3,70,MEDIUM
2026-05-05 19:56:15,0.324,1.062,0.100,-0.6,18,3,70,MEDIUM
2026-05-05 19:56:17,0.308,1.058,0.000,-4.7,18,3,70,MEDIUM
2026-05-05 19:56:20,0.273,1.030,0.000,-0.8,0,3,70,MEDIUM
2026-05-05 19:56:23,0.178,1.060,0.067,-2.5,6,7,60,HIGH
2026-05-15 11:25:55,0.000,0.000,0.000,0.0,0,2,80,SAFE
2026-05-15 11:25:57,0.314,1.000,0.000,-7.1,0,1,80,SAFE
2026-05-15 11:26:00,0.303,0.991,0.067,-4.5,13,3,70,MEDIUM
2026-05-15 11:26:02,0.277,0.989,0.067,-4.6,11,3,70,MEDIUM
2026-05-15 11:26:04,0.313,0.960,0.000,-2.7,9,3,70,MEDIUM
2026-05-15 11:26:06,0.333,1.039,0.000,-0.2,7,5,70,MEDIUM
2026-05-15 11:26:08,0.355,0.996,0.000,-2.0,7,5,70,MEDIUM
2026-05-15 11:26:10,0.280,0.998,0.000,-2.4,6,5,70,MEDIUM
2026-05-15 11:26:12,0.316,1.035,0.000,-1.0,5,5,70,MEDIUM
2026-05-15 11:26:14,0.351,1.034,0.000,-0.7,5,5,70,MEDIUM
2026-05-15 11:26:16,0.280,0.999,0.000,0.4,4,5,60,MEDIUM
2026-05-15 11:26:18,0.365,1.000,0.000,-3.9,4,5,60,MEDIUM
